Barding: Chain shirt, 200 'gp'},40.0,"[""Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.""]",
Barding: Half plate, 3000 'gp'},80.0,"[""Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.""]",
Barding: Hide, 40 'gp'},24.0,"[""Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.""]",
Barding: Leather, 40 'gp'},20.0,"[""Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.""]",
Barding: Padded, 20 'gp'},16.0,"[""Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.""]",
Barding: Plate, 6000 'gp'},130.0,"[""Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.""]",
Barding: Ring mail, 12 'gp'},80.0,"[""Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.""]",
Barding: Scale mail, 200 'gp'},90.0,"[""Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.""]",
Barding: Splint, 800 'gp'},120.0,"[""Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.""]",
Barding: Studded Leather, 180 'gp'},26.0,"[""Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.""]",
Barrel, 2 'gp'},70.0,,
Basket, 4 'sp'},2.0,,
Battleaxe, 10 'gp'},4.0,,
Bedroll, 1 'gp'},7.0,,
Bell, 1 'gp'},0.0,,
Bit and bridle, 2 'gp'},1.0,,
Blanket, 5 'sp'},3.0,,
Block and tackle, 1 'gp'},5.0,"['A set of pulleys with a cable threaded through them and a hook to attach to objects, a block and tackle allows you to hoist up to four times the weight you can normally lift.']",
Blowgun, 10 'gp'},1.0,,
Blowgun needle, 1 'gp'},1.0,,
Book, 25 'gp'},5.0,"['A book might contain poetry, historical accounts, information pertaining to a particular field of lore, diagrams and notes on gnomish contraptions, or just about anything else that can be represented using text or pictures. A book of spells is a spellbook (described later in this section).']",
"Bottle, glass", 2 'gp'},2.0,,
Breastplate, 400 'gp'},20.0,,
Brewer's supplies, 20 'gp'},9.0,"[""These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.""]",Artisan's Tools
Bucket, 5 'cp'},2.0,,
Burglar's Pack, 16 'gp'},,,
Calligrapher's supplies, 10 'gp'},5.0,"[""These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.""]",Artisan's Tools
Caltrops, 5 'cp'},2.0,"['As an action, you can spread a bag of caltrops to cover a square area that is 5 feet on a side.', 'Any creature that enters the area must succeed on a DC 15 Dexterity saving throw or stop moving this turn and take 1 piercing damage.', ""Taking this damage reduces the creature's walking speed by 10 feet until the creature regains at least 1 hit point."", ""A creature moving through the area at half speed doesn't need to make the save.""]",
Camel, 50 'gp'},,,
Candle, 1 'cp'},0.0,"['For 1 hour, a candle sheds bright light in a 5-foot radius and dim light for an additional 5 feet.']",
Carpenter's tools, 8 'gp'},6.0,"[""These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.""]",Artisan's Tools
Carriage, 100 'gp'},600.0,,
Cart, 15 'gp'},200.0,,
Cartographer's tools, 15 'gp'},6.0,"[""These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.""]",Artisan's Tools
"Case, crossbow bolt", 1 'gp'},1.0,['This wooden case can hold up to twenty crossbow bolts.'],
"Case, map or scroll", 1 'gp'},1.0,['This cylindrical leather case can hold up to ten rolled-up sheets of paper or five rolled-up sheets of parchment.'],
Chain (10 feet), 5 'gp'},10.0,['A chain has 10 hit points. It can be burst with a successful DC 20 Strength check.'],
Chain Mail, 75 'gp'},55.0,,
Chain Shirt, 50 'gp'},20.0,,
Chalk (1 piece), 1 'cp'},0.0,,
Chariot, 250 'gp'},100.0,,
Chest, 5 'gp'},25.0,,
Climber's Kit, 25 'gp'},12.0,"[""A climber's kit includes special pitons, boot tips, gloves, and a harness. You can use the climber's kit as an action to anchor yourself; when you do, you can't fall more than 25 feet from the point where you anchored yourself, and you can't climb more than 25 feet away from that point without undoing the anchor.""]",
"Clothes, common", 5 'sp'},3.0,,
"Clothes, costume", 5 'gp'},4.0,,
"Clothes, fine", 15 'gp'},6.0,,
"Clothes, traveler's", 2 'gp'},4.0,,
Club, 1 'sp'},2.0,,
Cobbler's tools, 5 'gp'},5.0,"[""These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.""]",Artisan's Tools
Component pouch, 25 'gp'},2.0,"["" A component pouch is a small, watertight leather belt pouch that has compartments to hold all the material components and other special items you need to cast your spells, except for those components that have a specific cost (as indicated in a spell's description).""]",
Cook's utensils, 1 'gp'},8.0,"[""These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.""]",Artisan's Tools
Crossbow bolt, 1 'gp'},1.5,,
"Crossbow, hand", 75 'gp'},3.0,,
"Crossbow, heavy", 50 'gp'},18.0,,
"Crossbow, light", 25 'gp'},5.0,,
Crowbar, 2 'gp'},5.0,"[""Using a crowbar grants advantage to Strength checks where the crowbar's leverage can be applied.""]",
Crystal, 10 'gp'},1.0,"['An arcane focus is a special item--an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item--designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus.']",
Dagger, 2 'gp'},1.0,,
Dart, 5 'cp'},0.25,,
Dice set, 1 'sp'},0.0,"['This item encompasses a wide range of game pieces, including dice and decks of cards (for games such as Three-Dragon Ante). A few common examples appear on the Tools table, but other kinds of gaming sets exist. If you are proficient with a gaming set, you can add your proficiency bonus to ability checks you make to play a game with that set. Each type of gaming set requires a separate proficiency.']",Gaming Sets
Diplomat's Pack, 39 'gp'},,,
Disguise Kit, 25 'gp'},3.0,"['This pouch of cosmetics, hair dye, and small props lets you create disguises that change your physical appearance. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to create a visual disguise.']",
Donkey, 8 'gp'},,,
Drum, 6 'gp'},3.0,"['Several of the most common types of musical instruments are shown on the table as examples. If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.']",Musical Instrument
Dulcimer, 25 'gp'},10.0,"['Several of the most common types of musical instruments are shown on the table as examples. If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.']",Musical Instrument
Dungeoneer's Pack, 12 'gp'},,,
Elephant, 200 'gp'},,,
Emblem, 5 'gp'},0.0,"['A holy symbol is a representation of a god or pantheon. It might be an amulet depicting a symbol representing a deity, the same symbol carefully engraved or inlaid as an emblem on a shield, or a tiny box holding a fragment of a sacred relic.', 'Appendix B lists the symbols commonly associated with many gods in the multiverse. A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield.']",
Entertainer's Pack, 40 'gp'},,,
Explorer's Pack, 10 'gp'},,,
Fishing tackle, 1 'gp'},4.0,"['This kit includes a wooden rod, silken line, corkwood bobbers, steel hooks, lead sinkers, velvet lures, and narrow netting.']",
Flail, 10 'gp'},2.0,,
Flask or tankard, 2 'cp'},1.0,,
Flute, 2 'gp'},1.0,"['Several of the most common types of musical instruments are shown on the table as examples. If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.']",Musical Instrument
Forgery Kit, 15 'gp'},5.0,"['This small box contains a variety of papers and parchments, pens and inks, seals and sealing wax, gold and silver leaf, and other supplies necessary to create convincing forgeries of physical documents. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to create a physical forgery of a document.']",
Galley, 30000 'gp'},,,
Glaive, 20 'gp'},6.0,,
Glassblower's tools, 30 'gp'},5.0,"[""These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.""]",Artisan's Tools
Grappling hook, 2 'gp'},4.0,,
Greataxe, 30 'gp'},7.0,,
Greatclub, 2 'sp'},10.0,,
Greatsword, 50 'gp'},6.0,,
Halberd, 20 'gp'},6.0,,
Half Plate, 750 'gp'},40.0,,
Hammer, 1 'gp'},3.0,,
"Hammer, sledge", 2 'gp'},10.0,,
Handaxe, 5 'gp'},2.0,,
Healer's Kit, 5 'gp'},3.0,"['This kit is a leather pouch containing bandages, salves, and splints. The kit has ten uses. As an action, you can expend one use of the kit to stabilize a creature that has 0 hit points, without needing to make a Wisdom (Medicine) check.']",
Herbalism Kit, 5 'gp'},3.0,"['This kit contains a variety of instruments such as clippers, mortar and pestle, and pouches and vials used by herbalists to create remedies and potions. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to identify or apply herbs. Also, proficiency with this kit is required to create antitoxin and potions of healing.']",
Hide, 10 'gp'},12.0,,
Holy water (flask), 25 'gp'},1.0,"['As an action, you can splash the contents of this flask onto a creature within 5 feet of you or throw it up to 20 feet, shattering it on impact. In either case, make a ranged attack against a target creature, treating the holy water as an improvised weapon.', 'If the target is a fiend or undead, it takes 2d6 radiant damage.', 'A cleric or paladin may create holy water by performing a special ritual.', 'The ritual takes 1 hour to perform, uses 25 gp worth of powdered silver, and requires the caster to expend a 1st-level spell slot.']",
Horn, 3 'gp'},2.0,"['Several of the most common types of musical instruments are shown on the table as examples. If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.']",Musical Instrument
"Horse, draft", 50 'gp'},,,
"Horse, riding", 75 'gp'},,,
Hourglass, 25 'gp'},1.0,,
Hunting trap, 5 'gp'},25.0,"['When you use your action to set it, this trap forms a saw-toothed steel ring that snaps shut when a creature steps on a pressure plate in the center. The trap is affixed by a heavy chain to an immobile object, such as a tree or a spike driven into the ground.', 'A creature that steps on the plate must succeed on a DC 13 Dexterity saving throw or take 1d4 piercing damage and stop moving. Thereafter, until the creature breaks free of the trap, its movement is limited by the length of the chain (typically 3 feet long).', 'A creature can use its action to make a DC 13 Strength check, freeing itself or another creature within its reach on a success. Each failed check deals 1 piercing damage to the trapped creature.']",
Ink (1 ounce bottle), 10 'gp'},0.0,,
Ink pen, 2 'cp'},0.0,,
Javelin, 5 'sp'},2.0,,
Jeweler's tools, 25 'gp'},2.0,"[""These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.""]",Artisan's Tools
Jug or pitcher, 2 'cp'},4.0,,
Keelboat, 3000 'gp'},,"[""Keelboats and rowboats are used on lakes and rivers. If going downstream, add the speed of the current (typically 3 miles per hour) to the speed of the vehicle. These vehicles can't be rowed against any significant current, but they can be pulled upstream by draft animals on the shores. A rowboat weighs 100 pounds, in case adventurers carry it over land.""]",
Ladder (10-foot), 1 'sp'},25.0,,
Lamp, 5 'sp'},1.0,"['A lamp casts bright light in a 15-foot radius and dim light for an additional 30 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil.']",
Lance, 10 'gp'},6.0,,
"Lantern, bullseye", 10 'gp'},2.0,"['A bullseye lantern casts bright light in a 60-foot cone and dim light for an additional 60 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil.']",
"Lantern, hooded", 5 'gp'},2.0,"['A hooded lantern casts bright light in a 30-foot radius and dim light for an additional 30 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil. As an action, you can lower the hood, reducing the light to dim light in a 5-foot radius.']",
Leather, 10 'gp'},10.0,,
Leatherworker's tools, 5 'gp'},5.0,"[""These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.""]",Artisan's Tools
Light hammer, 2 'gp'},2.0,,
Lock, 10 'gp'},1.0,"[""A key is provided with the lock. Without the key, a creature proficient with thieves' tools can pick this lock with a successful DC 15 Dexterity check. Your GM may decide that better locks are available for higher prices.""]",
Longbow, 50 'gp'},2.0,,
Longship, 10000 'gp'},,,
Longsword, 15 'gp'},3.0,,
Lute, 35 'gp'},2.0,"['Several of the most common types of musical instruments are shown on the table as examples. If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.']",Musical Instrument
Lyre, 30 'gp'},2.0,"['Several of the most common types of musical instruments are shown on the table as examples. If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.']",Musical Instrument
Mace, 5 'gp'},4.0,,
Magnifying glass, 100 'gp'},0.0,"['This lens allows a closer look at small objects. It is also useful as a substitute for flint and steel when starting fires. Lighting a fire with a magnifying glass requires light as bright as sunlight to focus, tinder to ignite, and about 5 minutes for the fire to ignite.', 'A magnifying glass grants advantage on any ability check made to appraise or inspect an item that is small or highly detailed.']",
Manacles, 2 'gp'},6.0,"['These metal restraints can bind a Small or Medium creature. Escaping the manacles requires a successful DC 20 Dexterity check. Breaking them requires a successful DC 20 Strength check.', ""Each set of manacles comes with one key. Without the key, a creature proficient with thieves' tools can pick the manacles' lock with a successful DC 15 Dexterity check. Manacles have 15 hit points.""]",
Mason's tools, 10 'gp'},8.0,"[""These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.""]",Artisan's Tools
Mastiff, 25 'gp'},,,
Maul, 10 'gp'},10.0,,
Mess Kit, 2 'sp'},1.0,"['This tin box contains a cup and simple cutlery. The box clamps together, and one side can be used as a cooking pan and the other as a plate or shallow bowl.']",
"Mirror, steel", 5 'gp'},0.5,,
Morningstar, 15 'gp'},4.0,,
Mule, 8 'gp'},,,
Navigator's tools, 25 'gp'},2.0,"[""This set of instruments is used for navigation at sea. Proficiency with navigator's tools lets you chart a ship's course and follow navigation charts. In addition, these tools allow you to add your proficiency bonus to any ability check you make to avoid getting lost at sea.""]",Other Tools
Net, 1 'gp'},3.0,,
Oil (flask), 1 'sp'},1.0,"['Oil usually comes in a clay flask that holds 1 pint.', 'As an action, you can splash the oil in this flask onto a creature within 5 feet of you or throw it up to 20 feet, shattering it on impact. Make a ranged attack against a target creature or object, treating the oil as an improvised weapon.', 'On a hit, the target is covered in oil. If the target takes any fire damage before the oil dries (after 1 minute), the target takes an additional 5 fire damage from the burning oil.', 'You can also pour a flask of oil on the ground to cover a 5-foot-square area, provided that the surface is level.', 'If lit, the oil burns for 2 rounds and deals 5 fire damage to any creature that enters the area or ends its turn in the area. A creature can take this damage only once per turn.']",
Orb, 20 'gp'},3.0,"['An arcane focus is a special item--an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item--designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus.']",
Padded, 5 'gp'},8.0,,
Painter's supplies, 10 'gp'},5.0,"[""These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.""]",Artisan's Tools
Pan flute, 12 'gp'},2.0,"['Several of the most common types of musical instruments are shown on the table as examples. If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.']",Musical Instrument
Paper (one sheet), 2 'sp'},0.0,,
Parchment (one sheet), 1 'sp'},0.0,,
Perfume (vial), 5 'gp'},0.0,,
"Pick, miner's", 2 'gp'},10.0,,
Pike, 5 'gp'},18.0,,
Piton, 5 'cp'},0.25,,
Plate, 1500 'gp'},65.0,,
Playing card set, 5 'sp'},0.0,"['This item encompasses a wide range of game pieces, including dice and decks of cards (for games such as Three-Dragon Ante). A few common examples appear on the Tools table, but other kinds of gaming sets exist. If you are proficient with a gaming set, you can add your proficiency bonus to ability checks you make to play a game with that set. Each type of gaming set requires a separate proficiency.']",Gaming Sets
"Poison, basic (vial)", 100 'gp'},0.0,"['You can use the poison in this vial to coat one slashing or piercing weapon or up to three pieces of ammunition. Applying the poison takes an action. A creature hit by the poisoned weapon or ammunition must make a DC 10 Constitution saving throw or take 1d4 poison damage. Once applied, the poison retains potency for 1 minute before drying.']",
Poisoner's Kit, 50 'gp'},2.0,"[""A poisoner's kit includes the vials, chemicals, and other equipment necessary for the creation of poisons. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to craft or use poisons.""]",
Pole (10-foot), 5 'cp'},7.0,,
Pony, 30 'gp'},,,
"Pot, iron", 2 'gp'},10.0,,
Potion of healing, 50 'gp'},0.5,['A character who drinks the magical red fluid in this vial regains 2d4 + 2 hit points. Drinking or administering a potion takes an action.'],
Potter's tools, 10 'gp'},3.0,"[""These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.""]",Artisan's Tools
Pouch, 5 'sp'},1.0,"['A cloth or leather pouch can hold up to 20 sling bullets or 50 blowgun needles, among other things. A compartmentalized pouch for holding spell components is called a component pouch (described earlier in this section).']",
Priest's Pack, 19 'gp'},,,
Quarterstaff, 2 'sp'},4.0,,
Quiver, 1 'gp'},1.0,['A quiver can hold up to 20 arrows.'],
"Ram, portable", 4 'gp'},35.0,"['You can use a portable ram to break down doors. When doing so, you gain a +4 bonus on the Strength check. One other character can help you use the ram, giving you advantage on this check.']",
Rapier, 25 'gp'},2.0,,
Rations (1 day), 5 'sp'},2.0,"['Rations consist of dry foods suitable for extended travel, including jerky, dried fruit, hardtack, and nuts.']",
Reliquary, 5 'gp'},2.0,"['A holy symbol is a representation of a god or pantheon. It might be an amulet depicting a symbol representing a deity, the same symbol carefully engraved or inlaid as an emblem on a shield, or a tiny box holding a fragment of a sacred relic.', 'Appendix B lists the symbols commonly associated with many gods in the multiverse. A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield.']",
Riding, 10 'gp'},25.0,,
Ring Mail, 30 'gp'},40.0,,
Robes, 1 'gp'},4.0,,
Rod, 10 'gp'},2.0,"['An arcane focus is a special item--an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item--designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus.']",
"Rope, hempen (50 feet)", 1 'gp'},10.0,"['Rope, whether made of hemp or silk, has 2 hit points and can be burst with a DC 17 Strength check.']",
"Rope, silk (50 feet)", 10 'gp'},5.0,"['Rope, whether made of hemp or silk, has 2 hit points and can be burst with a DC 17 Strength check.']",
Rowboat, 50 'gp'},,"[""Keelboats and rowboats are used on lakes and rivers. If going downstream, add the speed of the current (typically 3 miles per hour) to the speed of the vehicle. These vehicles can't be rowed against any significant current, but they can be pulled upstream by draft animals on the shores. A rowboat weighs 100 pounds, in case adventurers carry it over land.""]",
Sack, 1 'cp'},0.5,,
"Saddle, Exotic", 60 'gp'},50.0,"['A military saddle braces the rider, helping you keep your seat on an active mount in battle. It gives you advantage on any check you make to remain mounted. An exotic saddle is required for riding any aquatic or flying mount.']",
"Saddle, Military", 20 'gp'},30.0,"['A military saddle braces the rider, helping you keep your seat on an active mount in battle. It gives you advantage on any check you make to remain mounted. An exotic saddle is required for riding any aquatic or flying mount.']",
"Saddle, Pack", 5 'gp'},15.0,"['A military saddle braces the rider, helping you keep your seat on an active mount in battle. It gives you advantage on any check you make to remain mounted. An exotic saddle is required for riding any aquatic or flying mount.']",
Saddlebags, 4 'gp'},8.0,,
Sailing ship, 10000 'gp'},,,
Scale Mail, 50 'gp'},45.0,,
"Scale, merchant's", 5 'gp'},3.0,"['A scale includes a small balance, pans, and a suitable assortment of weights up to 2 pounds. With it, you can measure the exact weight of small objects, such as raw precious metals or trade goods, to help determine their worth.']",
Scholar's Pack, 40 'gp'},,,
Scimitar, 25 'gp'},3.0,,
Sealing wax, 5 'sp'},0.0,,
Shawm, 2 'gp'},1.0,"['Several of the most common types of musical instruments are shown on the table as examples. If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.']",Musical Instrument
Shield, 10 'gp'},6.0,,
Shortbow, 25 'gp'},2.0,,
Shortsword, 10 'gp'},2.0,,
Shovel, 2 'gp'},5.0,,
Sickle, 1 'gp'},2.0,,
Signal whistle, 5 'cp'},0.0,,
Signet ring, 5 'gp'},0.0,,
Sled, 20 'gp'},300.0,,
Sling, 1 'sp'},0.0,,
Sling bullet, 4 'cp'},1.5,,
Smith's tools, 20 'gp'},8.0,"[""These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.""]",Artisan's Tools
Soap, 2 'cp'},0.0,,
Spear, 1 'gp'},3.0,,
Spellbook, 50 'gp'},3.0,"['Essential for wizards, a spellbook is a leather-bound tome with 100 blank vellum pages suitable for recording spells.']",
"Spike, iron", 1 'sp'},5.0,,
Splint, 200 'gp'},60.0,,
Sprig of mistletoe, 1 'gp'},0.0,"['A druidic focus might be a sprig of mistletoe or holly, a wand or scepter made of yew or another special wood, a staff drawn whole out of a living tree, or a totem object incorporating feathers, fur, bones, and teeth from sacred animals. A druid can use such an object as a spellcasting focus.']",
Spyglass, 1000 'gp'},1.0,['Objects viewed through a spyglass are magnified to twice their size.'],
Stabling (1 day), 5 'sp'},0.0,,
Staff, 5 'gp'},4.0,"['An arcane focus is a special item--an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item--designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus.']",
Studded Leather, 45 'gp'},13.0,,
"Tent, two-person", 2 'gp'},20.0,"['A simple and portable canvas shelter, a tent sleeps two.']",
Thieves' tools, 25 'gp'},1.0,"['This set of tools includes a small file, a set of lock picks, a small mirror mounted on a metal handle, a set of narrow-bladed scissors, and a pair of pliers. Proficiency with these tools lets you add your proficiency bonus to any ability checks you make to disarm traps or open locks.']",Other Tools
Tinderbox, 5 'sp'},1.0,"['This small container holds flint, fire steel, and tinder (usually dry cloth soaked in light oil) used to kindle a fire. Using it to light a torch--or anything else with abundant, exposed fuel--takes an action.', 'Lighting any other fire takes 1 minute.']",
Tinker's tools, 50 'gp'},10.0,"[""These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.""]",Artisan's Tools
